course_code, subject_name, credits_registered, credits_earned, grade, grade_point, result_id, new_grade
EE802, "ENTREPRENEURSHIP MANAGEMENT & ECONOMICS", 2, 2, B, 8, 4776, A
HSS203, PROFESSIONAL COMMUNICATION, 2, 2, B, 8, 3073, A
EC602, ANALOG AND MIXED MODE VLSI DESIGN, 3, 3, B, 8.16, 446, A
EC601, DIGITAL COMMUNICATION, 4, 0, F, 0, 422, F
CSL1543, MICROPROCESSORS  AND CO LABORATORY, 2, 0, NE, 0, 229, F
IS82ECA, EXTRA/ CO-CURRICULAR ACTIVITIES, 2, 2, A, 9, 3894, S
CS201, FUNDAMENTALS OF COMPUTING, 3, 3, E, 3.3, 3322, F
ECL48, MICROPROCESSOR LAB, 1, 1, S, 10, 1629, S+
MEL203, WORKSHOP PRACTICE, 2, 2, S, 10, 2762, S+
EI45, CONTROL SYSTEMS, 4, 4, B, 8, 2365, A
HSS204K, KANNADA KALI, 0, 0, Pass, 0, 3372, F
ME605, HYDRAULICS AND PNEUMATICS, 3, 3, A, 9.74, 736, S
BT606L, UPSTREAM PROCESS TECHNOLOGY LAB, 1, 1, A, 8.09, 1008, A
IS62B1, FILE STRUCTURES, 4, 4, S, 10, 397, S+
CV201, BASIC CIVIL ENGINEERING AND MECHANICS, 4, 4, S+, 0, 3027, F
ECPE11, MICRO ELECTRO MECHANICAL SYSTEMS, 4, 4, A, 9.53, 4185, S
MAT201, ENGINEERING MATHEMATICS-II, 4, 0, NE, 0, 1939, F
HSS201, CONSTITUTION OF INDIA AND ETHICS, 2, 2, S, 10, 2616, S+
EI603, INDUSTRIAL DATA NETWORKS, 4, 4, D, 5, 1171, D
BT43, BIOCHEMICAL THERMODYNAMICS, 4, 0, F, 0, 2227, F
IS414, DESIGN AND ANALYSIS OF ALGORITHMS, 4, 4, A, 9, 1523, S
CHY201, ENGINEERING CHEMISTRY, 4, 4, E, 3.91, 2723, F
ME42, MANUFACTURING PROCESS II, 4, 4, A, 9.59, 2085, S
CV42, HYDRAULICS AND HYDRAULIC MACHINERY, 4, 4, B, 8, 1771, A
AR405, ARCHITECTURAL STRUCTURES IV, 3, 3, A, 9.42, 2477, S
IS414, DESIGN AND ANALYSIS OF ALGORITHMS, 4, 4, A, 9, 1432, S
EI42, SIGNAL PROCESSING, 4, 4, A, 8.44, 2370, A
CSPE26, MOOC BASED ELECTIVE, 1, 1, S, 9.69, 3801, S
AR406, BUILDING SERVICES II, 3, 3, A, 8.81, 2494, A
ME606, MECHATRONICS AND  MICROPROCESSOR, 3, 3, A, 9, 672, S
ME603, FINITE ELEMENT ANALYSIS, 4, 4, B, 8.78, 4503, A
EC201, BASIC ELECTRONICS, 4, 4, A, 9.45, 2856, S
CSL1561, UNIX SYSTEMS PROGRAMMING LABORATORY, 2, 2, S, 10, 223, S+
CHL602, MASS TRANSFER LABORATORY, 2, 2, A, 9.72, 957, S
EE603, MODERN CONTROL THEORY, 4, 4, A, 9, 1097, S
AR805, CONSTITUTIONAL LAW, 1, 1, B, 8, 4937, A
CSL1542, ALGORITHMS LABORATORY, 1, 1, S, 9.18, 1292, S
IS515, SOFTWARE ENGINEERING, 4, 4, A, 9, 94, S
CV605, DESIGN AND DETAILING OF RC STRUCTURES, 4, 4, B, 8, 663, A
EC602L, VLSI LAB, 1, 1, A, 9.21, 417, S
ME461, ROBOTICS, 3, 3, C, 7, 1995, B
PHY201, ENGINEERING PHYSICS, 4, 4, A, 9, 3416, S
CHY201, ENGINEERING CHEMISTRY, 4, 4, S, 9.4, 2583, S
CSL201, FUNDAMENTALS OF COMPUTING LAB, 1, 1, S+, 0, 3335, F
CV201, BASIC CIVIL ENGINEERING AND MECHANICS, 4, 0, NE, 0, 3409, F
TC801, OPTICAL COMMUNICATION & NETWORKING, 4, 4, C, 7, 4616, B
EC201, BASIC ELECTRONICS, 4, 4, B, 8.38, 2925, A
IS414L, DESIGN AND ANALYSIS OF ALGORITHMS LAB, 1, 0, F, 0, 1450, F
EC201, BASIC ELECTRONICS, 4, 4, A, 9, 3651, S
TC42, MICRO CONTROLLER, 4, 4, A, 8.04, 2113, A
HSS204K, KANNADA KALI, 0, 0, Pass, 0, 3550, F
CV801, EXTENSIVE SURVEY PROJECT, 4, 4, A, 8.78, 4346, A
CS1543, INTRODUCTION TO MICROPROCESSORS AND MICROCONTROLLERS, 4, 0, NE, 0, 1352, F
IS624, JAVA AND J2EE, 4, 4, A, 8.37, 378, A
ECPE11, MICRO ELECTRO MECHANICAL SYSTEMS, 4, 4, B, 8.3, 4199, A
EC41, MATHEMATICS - IV, 4, 4, A, 8.07, 1747, A
CSL1562, EMBEDDED SYSTEMS LABORATORY, 1, 1, A, 8.93, 233, A
ME606, MECHATRONICS AND  MICROPROCESSOR, 3, 3, A, 9, 865, S
CS201, FUNDAMENTALS OF COMPUTING, 3, 3, B, 7.69, 2991, B
ME202, COMPUTER AIDED ENGINEERING DRAWING, 2, 2, A, 9.68, 3143, S
IS416, FINITE AUTOMATA AND FORMAL LANGUAGES, 4, 4, A, 9.03, 1429, S
CS201, FUNDAMENTALS OF COMPUTING, 3, 3, A, 9, 3113, S
IS52A3, SYSTEM SOFTWARE, 4, 4, S, 10, 33, S+
EC201, BASIC ELECTRONICS, 4, 4, S, 10, 2881, S+
CV44, CONCRETE TECHNOLOGY, 4, 4, B, 8, 1755, A
IS631, SYSTEM SOFTWARE, 4, 4, B, 8.97, 356, A
AR204, HISTORY OF ARCHITECTURE II, 3, 3, A, 8.69, 3669, A
CV201, BASIC CIVIL ENGINEERING AND MECHANICS, 4, 4, A, 8.06, 3134, A
HSS201, CONSTITUTION OF INDIA AND ETHICS, 2, 2, B, 8.57, 2718, A
MEOE07, PRODUCT DESIGN AND MANUFACTURING, 3, 3, A, 9.7, 4286, S
MLL48, LINEAR INTEGRATED CIRCUITS LAB, 1, 1, A, 9, 2341, S
IS624, JAVA AND J2EE, 4, 4, B, 7.48, 280, B
ML601, DIAGNOSTIC AND THERAPEUTIC EQUIPMENT, 4, 4, B, 8, 1100, A
CS812, PROJECT, 18, 18, S, 9.06, 3820, S
EC45, SIGNALS AND SYSTEMS, 4, 4, B, 8.69, 1714, A
EE601, POWER SYSTEMS-I, 4, 4, A, 9, 1080, S
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, B, 8.96, 2982, A
CV605, DESIGN AND DETAILING OF RC STRUCTURES, 4, 0, F, 0, 609, F
EIL48, INDUSTRIAL INSTRUMENTATION-I LAB, 1, 1, A, 9.32, 2403, S
IS435L, MICROPROCESSORS LAB, 1, 1, S, 9.89, 1530, S
BT42, HEAT & MASS TRANSFER, 4, 4, A, 9, 2229, S
BT602, UPSTREAM PROCESS TECHNOLOGY, 3, 3, A, 8.36, 997, A
EC45, SIGNALS AND SYSTEMS, 4, 4, B, 8.18, 1733, A
ML603, BIO-MEDICAL SIGNAL PROCESSING, 4, 4, C, 6.74, 1110, C
AL201, ENGINEERING DESIGN, 2, 2, S+, 0, 3565, F
ECPE11, MICRO ELECTRO MECHANICAL SYSTEMS, 4, 4, A, 8.94, 4138, A
IS624, JAVA AND J2EE, 4, 4, B, 7.39, 370, B
ML803, INTERNSHIP, 1, 0, NE, 0, 4832, F
CHY201, ENGINEERING CHEMISTRY, 4, 0, NE, 0, 1769, F
CS1561, COMPLIER DESIGN, 4, 4, A, 9.93, 275, S
IS624L, JAVA AND J2EE LAB, 1, 1, A, 8.11, 284, A
ME47L, APPLIED THERMODYNAMICS LABORATORY, 1, 1, A, 9, 1941, S
CV43, TRANSPORTATION ENGINEERING - I, 4, 4, A, 8.8, 1834, A
BT801, BIOETHICS AND BIOSAFETY, 3, 3, A, 9.33, 4740, S
AR601, ARCHITECTURAL DESIGN V, 7, 7, B, 8.77, 1214, A
IS62C5, COMPUTER GRAPHICS, 4, 4, A, 8.49, 385, A
CS812, PROJECT, 18, 18, S, 10, 3867, S+
MEPE23, COMPUTATIONAL FLUID DYNAMICS, 3, 3, A, 9.63, 734, S
EC601L, DIGITAL COMMUNICATION LAB, 1, 1, A, 9, 519, S
MEPE18, SMART MATERIALS, 3, 3, A, 9, 4429, S
ME462, MANAGEMENT AND ENTREPRENEURSHIP, 3, 3, S, 9.03, 2061, S
CH42, MASS TRANSFER - I, 4, 4, C, 7, 4680, B
TCL606, DIGITAL COMMUNICATION LAB, 1, 1, A, 8.29, 885, A
CHPE022, NON-CONVENTIONAL ENERGY SOURCES AND TECHNOLOGY, 3, 0, X, 0, 950, F
ECPE11, MICRO ELECTRO MECHANICAL SYSTEMS, 4, 4, C, 6.12, 4178, C
MEL203, WORKSHOP PRACTICE, 2, 2, S, 9.33, 3364, S
IS62C3, BIOINFORMATICS, 4, 4, A, 9.73, 324, S
CSL1542, ALGORITHMS LABORATORY, 1, 1, S, 9.6, 1363, S
IS62B2, DISTRIBUTED STORAGE TECHNOLOGIES, 4, 4, C, 7, 307, B
CH604, PROCESS EQUIPMENT DESIGN AND DRAWING, 4, 4, B, 7.35, 976, B
ME42, MANUFACTURING PROCESS II, 4, 4, B, 8, 1973, A
CS1561, COMPLIER DESIGN, 4, 4, A, 9, 237, S
ME201, ELEMENTS OF MECHANICAL ENGINEERING, 4, 4, A, 8.77, 2857, A
EC462, HARDWARE DESCRPITION LANGUAGE, 3, 3, A, 9.32, 1745, S
CV201, BASIC CIVIL ENGINEERING AND MECHANICS, 4, 0, F, 0, 3010, F
IS82E1, DATA SCIENCE, 4, 4, S, 10, 3901, S+
CV44, CONCRETE TECHNOLOGY, 4, 4, A, 9, 1825, S
CHL601, CHEMICAL REACTION ENGINEERING LABORATORY, 2, 2, S, 10, 964, S+
CSL1542, ALGORITHMS LABORATORY, 1, 1, A, 8.49, 1336, A
TCL48, SYSTEMS SIMULATION LAB, 1, 1, S, 10, 2117, S+
IMOE02, PROJECT MANAGEMENT, 3, 3, A, 9, 4743, S
HSS202, ENVIRONMENTAL STUDIES, 2, 2, C, 6.04, 1541, C
CV604, ENGINEERING MANAGEMENT AND ENTREPRENEURSHIP, 3, 3, A, 8.01, 591, A
IS435, MICROPROCESSORS, 4, 0, X, 0, 1442, F
IS631, SYSTEM SOFTWARE, 4, 0, NE, 0, 326, F
CV602, DESIGN OF STRUCTURAL STEEL ELEMENTS, 3, 3, B, 8, 632, A
EIL47, EMBEDDED CONTROLLER LAB, 1, 1, C, 7, 1153, B
MES81, ENERGY ENGINEERING, 3, 3, A, 8.38, 4465, A
CSOE01, PYTHON APPLICATION PROGRAMMING, 3, 3, A, 9.98, 4737, S
CS201, FUNDAMENTALS OF COMPUTING, 3, 3, C, 6.64, 2774, C
AL201, ENGINEERING DESIGN, 2, 2, A, 8.1, 2850, A
HSS202, ENVIRONMENTAL STUDIES, 2, 2, B, 8.06, 2604, A
CSL1543, MICROPROCESSORS  AND CO LABORATORY, 2, 0, F, 0, 1306, F
IS416, FINITE AUTOMATA AND FORMAL LANGUAGES, 0, 0, W, 0, 1513, F
AL201, ENGINEERING DESIGN, 2, 2, S, 10, 2617, S+
EC43, CONTROL SYSTEMS, 4, 4, A, 9.5, 1718, S
IS315L, OBJECT ORIENTED PROGRAMMING LAB, 1, 1, B, 8, 134, A
CS1564, COMPUTER GRAPHICS, 4, 4, A, 9, 177, S
CV801, EXTENSIVE SURVEY PROJECT, 4, 4, A, 9, 4347, S
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, S+, 0, 3044, F
AR205, ARCHITECTURAL STRUCTURES II, 3, 3, B, 8.44, 3664, A
CV201, BASIC CIVIL ENGINEERING AND MECHANICS, 4, 4, A, 9, 2817, S
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, S, 10, 3248, S+
CV45, ENVIRONMENTAL ENGINEERING -I, 3, 3, B, 7.39, 1883, B
ME201, ELEMENTS OF MECHANICAL ENGINEERING, 4, 4, B, 8.39, 2659, A
ME202, COMPUTER AIDED ENGINEERING DRAWING, 2, 0, X, 0, 3056, F
CV46, ENGINEERING MANAGEMENT AND ENTREPRENEURSHIP, 3, 3, B, 8.68, 1845, A
IS811, PROJECT WORK, 19, 19, A, 8.41, 3975, A
IS82E1, DATA SCIENCE, 4, 4, S, 9.97, 3902, S
MEMAT41, ENGINEERING MATHEMATICS-IV, 4, 0, F, 0, 1920, F
EC45, SIGNALS AND SYSTEMS, 4, 0, NE, 0, 492, F
EE201, BASIC ELECTRICAL ENGINEERING, 4, 0, X, 0, 3326, F
EC201, BASIC ELECTRONICS, 4, 4, B, 8, 2643, A
ME45, FLUID MECHANICS, 4, 4, A, 8.15, 2078, A
EE201, BASIC ELECTRICAL ENGINEERING, 4, 4, S+, 0, 2968, F
CV42, HYDRAULICS AND HYDRAULIC MACHINERY, 4, 0, X, 0, 1778, F
AR608, WORKING DRAWING, 1, 1, A, 9.39, 1224, S
ECPE11, MICRO ELECTRO MECHANICAL SYSTEMS, 4, 4, A, 8.36, 4192, A
ME602, MANUFACTURING PROCESS - III, 3, 3, A, 9.28, 689, S
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, C, 7.25, 3414, B
CV605, DESIGN AND DETAILING OF RC STRUCTURES, 4, 4, A, 9.03, 586, S
CHY201, ENGINEERING CHEMISTRY, 4, 4, C, 7, 3629, B
AR604, ESTIMATION & COSTING, 3, 3, S, 9.89, 1275, S
MEPE12, RAPID PROTOTYPING, 3, 3, B, 8.53, 823, A
AR401, ARCHITECTURAL DESIGN III, 7, 7, B, 8, 2433, A
MES81, ENERGY ENGINEERING, 3, 3, A, 8.29, 4575, A
BT802, "PLANT DESIGN ECONOMICS AND ENTREPRENEURSHIP", 3, 0, X, 0, 4706, F
IML48, COMPUTER AIDED MACHINE DRAWING LAB, 1, 1, S, 9.48, 1582, S
ML602, MEDICAL IMAGE PROCESSING, 4, 4, B, 8.35, 1129, A
EI44, INDUSTRIAL INSTRUMENTATION-I, 4, 4, A, 9, 2390, S
CV603, IRRIGATION ENGINEERING AND HYDRAULIC STRUCTURES, 3, 3, C, 7.92, 4288, B
EEL48, ELECTRICAL MACHINES-I LAB., 1, 1, S, 10, 2272, S+
EE44, MICROCONTROLLERS: PROGRAMMING & INTERFACING, 4, 4, B, 8.54, 2307, A
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, E, 3.78, 2818, F
CSL1562, EMBEDDED SYSTEMS LABORATORY, 1, 1, S, 10, 268, S+
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, S, 10, 3499, S+
ME605, HYDRAULICS AND PNEUMATICS, 3, 3, B, 8, 782, A
CS201, FUNDAMENTALS OF COMPUTING, 3, 0, NE, 0, 3163, F
ME803, PROJECT WORK, 12, 12, A, 8.16, 4390, A
CS1542, DESIGN AND ANALYSIS OF ALGORITHMS, 4, 0, F, 0, 1349, F
TC801, OPTICAL COMMUNICATION & NETWORKING, 4, 4, A, 9, 4624, S
IS811, PROJECT WORK, 19, 19, A, 9, 3911, S
PHY201, ENGINEERING PHYSICS, 4, 4, A, 9, 3084, S
CV607L, DETAILING OF RC AND STEEL STRUCTURAL ELEMENTS, 2, 2, S, 10, 628, S+
CS201, FUNDAMENTALS OF COMPUTING, 3, 3, A, 8.33, 3350, A
EC602, ANALOG AND MIXED MODE VLSI DESIGN, 3, 3, B, 7.11, 414, B
AR401, ARCHITECTURAL DESIGN III, 7, 7, B, 7.77, 2448, B
MEPE18, SMART MATERIALS, 3, 3, B, 8, 4522, A
ME601L, MACHINE DESIGN  LABORATORY, 1, 1, A, 9, 868, S
ME42, MANUFACTURING PROCESS II, 4, 4, A, 9.28, 2058, S
EC201, BASIC ELECTRONICS, 4, 4, A, 9.88, 2933, S
CV602, DESIGN OF STRUCTURAL STEEL ELEMENTS, 3, 0, X, 0, 553, F
CH804, SEMINAR, 1, 1, B, 7.31, 4665, B
CV201, BASIC CIVIL ENGINEERING AND MECHANICS, 4, 4, B, 8.35, 3438, A
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, S, 10, 3651, S+
CH603, BIOCHEMICAL ENGINEERING, 3, 3, A, 9.54, 980, S
CSL1542, ALGORITHMS LABORATORY, 1, 1, B, 8, 1358, A
EEPE42, "GENERATION ECONOMICS & RELIABILITY ASPECTS OF POWER SYSTEMS", 3, 3, B, 8.92, 1071, A
AR406, BUILDING SERVICES II, 3, 3, A, 9.1, 2493, S
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, A, 9.71, 3286, S
BTPE08, FOOD BIOTECHNOLOGY, 3, 3, D, 4.29, 992, E
MLL609, BIO-MEDICAL SIGNAL PROCESSING LAB, 1, 1, B, 7.56, 1117, B
IM44, ELEMENTS OF MACHINE DESIGN, 4, 4, B, 8, 1601, A
EC601, DIGITAL COMMUNICATION, 4, 0, NE, 0, 4161, F
CSL1543, MICROPROCESSORS  AND CO LABORATORY, 2, 2, S, 9.9, 1325, S
EI45, CONTROL SYSTEMS, 4, 4, A, 8.37, 2411, A
CS1561, COMPLIER DESIGN, 4, 4, B, 7.23, 155, B
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, S, 10, 3057, S+
EE43, SIGNALS & SYSTEMS, 4, 4, S, 10, 2257, S+
PHY201, ENGINEERING PHYSICS, 4, 4, A, 8.75, 3120, A
ME48L, MANUFACTURING PROCESS LABORATORY - I, 1, 1, A, 8.65, 2078, A
PHY201, ENGINEERING PHYSICS, 4, 4, B, 8, 2789, A
ML603, BIO-MEDICAL SIGNAL PROCESSING, 4, 4, A, 9, 1106, S
TC803, PROJECT WORK-II, 12, 12, S, 9.66, 4591, S
CVPE842, INDUSTRIAL WASTE WATER TREATMENT, 4, 4, B, 8.82, 4352, A
CVL47, SURVEYING PRACTICE, 2, 2, B, 7.79, 1811, B
CHYL201, ENGINEERING CHEMISTRY LAB, 1, 1, S+, 0, 2900, F
CH41, ENGINEERING MATHEMATICS-IV, 4, 4, C, 7, 2149, B
IS523, INTELLECTUAL PROPERTY RIGHTS, 2, 2, C, 6.4, 80, C
BTPE09, RESEARCH METHODOLOGY, 3, 3, S, 10, 1022, S+
HSS204K, KANNADA KALI, 0, 0, Pass, 0, 2632, F
EEPE42, "GENERATION ECONOMICS & RELIABILITY ASPECTS OF POWER SYSTEMS", 3, 3, A, 9.3, 1068, S
MEL203, WORKSHOP PRACTICE, 2, 2, A, 9.12, 2508, S
ME45, FLUID MECHANICS, 4, 4, S, 10, 1898, S+
CV601, GEOTECHNICAL ENGINEERING -II, 4, 4, E, 3.39, 4288, F
HSS202, ENVIRONMENTAL STUDIES, 2, 2, C, 6.55, 2731, C
EI602, ADVANCED CONTROL SYSTEM, 4, 4, A, 9, 1171, S
HSS201, CONSTITUTION OF INDIA AND ETHICS, 2, 2, D, 4.07, 2745, E
IS414, DESIGN AND ANALYSIS OF ALGORITHMS, 4, 4, A, 9.67, 1449, S
EEPE43, HIGH VOLTAGE ENGINEERING, 3, 3, B, 8, 1068, A
ME201, ELEMENTS OF MECHANICAL ENGINEERING, 4, 4, S, 9.32, 2740, S
CV608L, ENVIRONMENTAL ENGINEERING LABORATORY, 2, 2, A, 9, 541, S
EE801, INTELLECTUAL PROPERTY RIGHTS, 2, 2, B, 8, 4759, A
MEL203, WORKSHOP PRACTICE, 2, 2, S, 10, 2714, S+
HSS202, ENVIRONMENTAL STUDIES, 2, 2, B, 7.86, 2925, B
AR202, BUILDING MATERIALS & CONSTRUCTION TECHNOLOGY II, 4, 4, S, 10, 3723, S+
CVPE667, GREEN BUILDING TECHNOLOGY, 4, 4, B, 8.45, 4255, A
ME604, PROFESSIONAL ETHICS, 2, 2, B, 8.57, 745, A
CS1541, COMPUTER ORGANIZATION, 4, 4, S, 10, 1414, S+
TC46, WEB DESIGN TECHNOLOGY, 3, 3, A, 9, 2112, S
CSPE26, MOOC BASED ELECTIVE, 1, 1, S, 10, 3866, S+
ML602, MEDICAL IMAGE PROCESSING, 4, 4, A, 9, 1100, S
AL201, ENGINEERING DESIGN, 2, 2, S, 10, 2839, S+
CV201, BASIC CIVIL ENGINEERING AND MECHANICS, 4, 4, S+, 0, 3236, F
AR407, COMPUTERS IN ARCHITECTURE III, 2, 2, S, 10, 2426, S+
CSL201, FUNDAMENTALS OF COMPUTING LAB, 1, 1, C, 7, 3128, B
CS1541, COMPUTER ORGANIZATION, 4, 0, F, 0, 172, F
CS1544, DATA COMMUNICATION, 4, 4, A, 9, 1321, S
ME605, HYDRAULICS AND PNEUMATICS, 3, 3, A, 9, 857, S
CSL1541, PYTHON LABORATORY, 2, 2, A, 9, 1390, S
IS632, OPERATING SYSTEM AND UNIX, 4, 4, B, 8, 409, A
CHY201, ENGINEERING CHEMISTRY, 4, 4, A, 9.67, 3612, S
AR603, RESEARCH METHODOLOGY, 2, 2, A, 9, 1214, S
CV46, ENGINEERING MANAGEMENT AND ENTREPRENEURSHIP, 3, 3, B, 8.9, 1778, A
ECL48, MICROPROCESSOR LAB, 1, 1, S, 9.63, 1674, S
CS612, COMPILER DESIGN, 4, 0, NE, 0, 3754, F
CV601, GEOTECHNICAL ENGINEERING -II, 4, 0, X, 0, 573, F
AR603, RESEARCH METHODOLOGY, 2, 2, A, 9, 1257, S
CH801, ECONOMICS AND ENTREPRENEURSHIP, 4, 4, A, 9.12, 4692, S
HSS203, PROFESSIONAL COMMUNICATION, 2, 2, S, 10, 2780, S+
EE201, BASIC ELECTRICAL ENGINEERING, 4, 4, A, 8.85, 3088, A
CHL48, MECHANICAL OPERATIONS LABORATORY, 1, 1, A, 9, 2166, S
EE602, POWER ELECTRONICS, 4, 4, B, 8.52, 1096, A
MLPE21, MEDICAL INFORMATICS, 3, 3, B, 8, 1100, A
CV801, EXTENSIVE SURVEY PROJECT, 4, 4, B, 7.74, 4336, B
EC804, PROJECT WORK - II, 14, 14, S, 10, 4168, S+
AR803, IPR & ETHICS, 1, 1, A, 9.72, 4866, S
TC601, DIGITAL COMMUNICATION, 4, 4, B, 8.39, 895, A
ME605, HYDRAULICS AND PNEUMATICS, 3, 3, A, 9, 870, S
IS433, SOFTWARE ENGINEERING, 3, 3, A, 9, 1558, S
IMOE02, PROJECT MANAGEMENT, 3, 3, B, 8.67, 4266, A
HSS203, PROFESSIONAL COMMUNICATION, 2, 2, A, 9.76, 3429, S
AR804, PROFESSIONAL PRACTICE II, 3, 3, B, 8, 4937, A
CS201, FUNDAMENTALS OF COMPUTING, 3, 0, X, 0, 2796, F
MLL609, BIO-MEDICAL SIGNAL PROCESSING LAB, 1, 1, C, 6.58, 1112, C
EC41, MATHEMATICS - IV, 4, 4, A, 9.74, 1736, S
MES81, ENERGY ENGINEERING, 3, 3, B, 8, 4466, A
HSS203, PROFESSIONAL COMMUNICATION, 2, 2, S, 10, 3270, S+
